Municipal,County,Cases,Date
watchung,somerset county,77,may-9-2020
andover,sussex county,2,may-9-2020
andover township,sussex county,195,may-9-2020
branchville,sussex county,5,may-9-2020
byram township,sussex county,39,may-9-2020
frankford township,sussex county,73,may-9-2020
franklin,sussex county,41,may-9-2020
fredon township,sussex county,17,may-9-2020
green township,sussex county,12,may-9-2020
hamburg,sussex county,23,may-9-2020
hampton township,sussex county,28,may-9-2020
hardyston township,sussex county,49,may-9-2020
hopatcong,sussex county,106,may-9-2020
lafayette township,sussex county,10,may-9-2020
montague township,sussex county,22,may-9-2020
newton,sussex county,81,may-9-2020
ogdensburg,sussex county,15,may-9-2020
sandyston township,sussex county,6,may-9-2020
sparta township,sussex county,97,may-9-2020
stanhope,sussex county,19,may-9-2020
stillwater township,sussex county,11,may-9-2020
sussex,sussex county,6,may-9-2020
vernon township,sussex county,115,may-9-2020
wantage township,sussex county,51,may-9-2020
berkeley heights,union county,179,may-9-2020
clark,union county,201,may-9-2020
cranford,union county,412,may-9-2020
elizabeth,union county,4123,may-9-2020
fanwood,union county,75,may-9-2020
garwood,union county,41,may-9-2020
kenilworth,union county,130,may-9-2020
hillside,union county,499,may-9-2020
linden,union county,1196,may-9-2020
mountainside,union county,60,may-9-2020
new providence,union county,138,may-9-2020
plainfield,union county,1856,may-9-2020
rahway,union county,625,may-9-2020
roselle,union county,566,may-9-2020
roselle park,union county,248,may-9-2020
scotch plains,union county,232,may-9-2020
springfield township,union county,213,may-9-2020
summit,union county,182,may-9-2020
union township,union county,1607,may-9-2020
westfield,union county,239,may-9-2020
allamuchy township,warren county,23,may-9-2020
alpha,warren county,15,may-9-2020
belvidere,warren county,22,may-9-2020
blairstown,warren county,14,may-9-2020
franklin township,warren county,14,may-9-2020
frelinghuysen township,warren county,84,may-9-2020
greenwich township,warren county,51,may-9-2020
hackettstown,warren county,101,may-9-2020
hardwick township,warren county,6,may-9-2020
harmony township,warren county,15,may-9-2020
hope township,warren county,16,may-9-2020
independence township,warren county,25,may-9-2020
knowlton township,warren county,10,may-9-2020
liberty township,warren county,15,may-9-2020
lopatcong township,warren county,255,may-9-2020
mansfield township,warren county,106,may-9-2020
oxford township,warren county,6,may-9-2020
phillipsburg,warren county,110,may-9-2020
pohatcong township,warren county,20,may-9-2020
washington,warren county,44,may-9-2020
washington township,warren county,39,may-9-2020
white township,warren county,49,may-9-2020
absecon,atlantic county,122,may-10-2020
atlantic city,atlantic county,145,may-10-2020
brigantine,atlantic county,19,may-10-2020
buena,atlantic county,30,may-10-2020
buena vista township,atlantic county,21,may-10-2020
